Componente,Auto_Foco,Demanda_Anual,Costo_Unitario,Valor_Uso_Anual,Pct_Individual,Pct_Acumulado,Clase_ABC
Carrocería Artesanal de Época,Vintage,246,15000,3690000,16.8017,16.8017,A
Motor de Alto Rendimiento V8,Clásico,394,9000,3546000,16.146,32.9477,A
Motor de Cilindros en Línea Raro,Vintage,246,12000,2952000,13.4414,46.3891,A
Carrocería Estándar (Fibra),Clásico,394,6500,2561000,11.661,58.0501,A
Tapicería de Cuero Premium,Ambos,639,4000,2556000,11.6383,69.6884,A
Juego de Llantas Vintage Espec.,Vintage,983,2500,2457500,11.1898,80.8782,B
Transmisión de 5 Velocidades,Ambos,639,3500,2236500,10.1835,91.0616,B
Cubiertas de Alta Gama (Neumáticos),Ambos,2557,250,639250,2.9107,93.9723,B
Llantas Regulares Cromados,Clásico,1574,400,629600,2.8668,96.8391,C
Sistema de Inyección Electrónica,Clásico,394,1200,472800,2.1528,98.9919,C
Set de Carburadores Dobles,Vintage,246,900,221400,1.0081,100.0,C
