Componente,Auto_Foco,Demanda_Anual,Costo_Unitario,Valor_Uso_Anual,Pct_Individual,Pct_Acumulado,Clase_ABC,Demanda_Mensual_Media,Desvio_Mensual,CV_Pct,Clase_XYZ,Clase
Carrocería Artesanal de Época,Vintage,246,15000,3690000,16.8017,16.8017,A,20.4828,14.6984,71.7601,Z,AZ
Motor de Cilindros en Línea Raro,Vintage,246,12000,2952000,13.4414,46.3891,A,20.4828,14.6984,71.7601,Z,AZ
Tapicería de Cuero Premium,Ambos,639,4000,2556000,11.6383,69.6884,A,53.2759,39.3899,73.9357,Z,AZ
Motor de Alto Rendimiento V8,Clásico,394,9000,3546000,16.146,32.9477,A,32.7931,25.4718,77.6743,Z,AZ
Carrocería Estándar (Fibra),Clásico,394,6500,2561000,11.661,58.0501,A,32.7931,25.4718,77.6743,Z,AZ
Juego de Llantas Vintage Espec.,Vintage,983,2500,2457500,11.1898,80.8782,B,81.931,58.7938,71.7601,Z,BZ
Transmisión de 5 Velocidades,Ambos,639,3500,2236500,10.1835,91.0616,B,53.2759,39.3899,73.9357,Z,BZ
Cubiertas de Alta Gama (Neumáticos),Ambos,2557,250,639250,2.9107,93.9723,B,213.1034,157.5596,73.9357,Z,BZ
Set de Carburadores Dobles,Vintage,246,900,221400,1.0081,100.0,C,20.4828,14.6984,71.7601,Z,CZ
Llantas Regulares Cromados,Clásico,1574,400,629600,2.8668,96.8391,C,131.1724,101.8872,77.6743,Z,CZ
Sistema de Inyección Electrónica,Clásico,394,1200,472800,2.1528,98.9919,C,32.7931,25.4718,77.6743,Z,CZ
