Componente,Auto_Foco,Demanda_Mensual_Media,Desvio_Mensual,CV_Pct,Clase_XYZ
Motor de Cilindros en Línea Raro,Vintage,20.4828,14.6984,71.7601,Z
Carrocería Artesanal de Época,Vintage,20.4828,14.6984,71.7601,Z
Set de Carburadores Dobles,Vintage,20.4828,14.6984,71.7601,Z
Juego de Llantas Vintage Espec.,Vintage,81.931,58.7938,71.7601,Z
Tapicería de Cuero Premium,Ambos,53.2759,39.3899,73.9357,Z
Transmisión de 5 Velocidades,Ambos,53.2759,39.3899,73.9357,Z
Cubiertas de Alta Gama (Neumáticos),Ambos,213.1034,157.5596,73.9357,Z
Motor de Alto Rendimiento V8,Clásico,32.7931,25.4718,77.6743,Z
Sistema de Inyección Electrónica,Clásico,32.7931,25.4718,77.6743,Z
Carrocería Estándar (Fibra),Clásico,32.7931,25.4718,77.6743,Z
Llantas Regulares Cromados,Clásico,131.1724,101.8872,77.6743,Z
